title,Subtitle,publisher,date,isbn,Authors,Exhibit locations
"Klimt : alle origini di un mito, [mostra, Milan, Palazzo reale, 12.03-13.07, 2014]",,"Milano : 24 ore cultura , impr. 2014",2014,8866481939,,Milan
"Say it with flowers! : Viennese flower painting from Waldmüller to Klimt, [exhibition Orangerie of the Lower Belvedere, Vienna, June 22 - September 30, 2018]",,"Vienna : Belvedere , 2018",2018,9783791357928,,Vienna
"Faszination Japan : Monet, Van Gogh, Klimt, [Ausstellung, Bank Austria Kunstforum Wien, 10. Oktober 2018 bis 20. Januar 2019]",,[Heidelberg] : Kehrer,2018,3868288821,,Ausstellung
"Klimt und die Frauen : [Ausstellung, Österreichische Galerie Belvedere, Wien, 20. September 2000 bis 7. Januar 2001]",,"[Köln] : DuMont , 2002",2002,3832172718,,"Frauen, Ausstellung"
"L'ossessione nordica : Böcklin, Klimt, Munch e la pittura italiana, [mostra, Rovigo, Palazzo Roverella, 22 febbraio-22 giugno 2014]",,"Venezia : Marsilio , 2014",2014,8831717847,,"Munch, Rovigo"
"Vienne 1900 : Klimt, Schiele, Moser, Kokoschka, album de l'exposition, [Paris], Galeries nationales du Grand Palais, 3 octobre 2005-23 janvier 2006",,"Paris : Réunion des musées nationaux , impr. 2005",2005,2711850560,,"Kokoschka, Paris, Grand Palais"
"Gustav Klimt : d'or et de couleurs, [exposition, Bordeaux, Bassins de lumières, 10 juin-30 mai 2020]",,"Paris : Hazan , DL 2020",2020,9782754111799,,Bordeaux
"Gustav Klimt : Erwartung und Erfüllung, Entwürfde zum Mosaikfries im Palais Stoclet, [Ausstellung, Wien, MAK, Österreichisches Museum für Angewandte Kunst, 21.3-15.7.2012]",,"Ostfildern : Hatje Cantz , cop. 2012",2012,3775733051,,"Ausstellung, Wien"
"Klimt e l'arte italiana : [mostra, Museo d'arte moderna e contemporanea di Trento e Rovereto, MART, Rovereto, march 16 - june 18, 2023]",,"Cinisello Balsamo, Milano : Silvana editoriale",2023,8836654703,,"Trento, Rovereto"
"Au temps de Klimt : la sécession à Vienne, [exposition, Paris, Pinacothèque de Paris, 12 février-21 juin 2015]",,"Milan : 24 Ore cultura ; Paris : Pinacothèque de Paris , cop. 2015",2015,8866482552,,"Paris, Pinacothèque de Paris, février-21"
"Klimt persönlich : Bilder, Briefe, Einblicke, [Jubiläumsausstellung, 24.02.2012 - 27.08.2012 im Leopold Museum, Wien]",,"Wien : Brandtstätter , cop. 2012",2012,385033628X,,Jubiläumsausstellung
"Schiele, Klimt, Kokoschka e gli amici viennesi : [mostra, Roverto, Museo di arte moderna e contemporanea di Trento e Roverto, 7 ottobre 2006 - 8 gennaio 2007]",,"Milano : Skira ; Trento : MART, Museo di arte moderna e contemporanea di Trento e Roverto , cop. 2006",2006,8876249508,,"Kokoschka, Trento"
"Gustav Klimt, Oskar Kokoschka, Egon Schiele : Zeichnungen und Aquarelle, [Ausstellung, Pfalzgalerie, Kaiserslautern, 1. September bis 14. Oktober 1984]",,"Kaiserslautern : Pfalzgalerie , 1984",1984,8820205866,,Ausstellung
"Vienne 1900 : Klimt, Schiele, Moser, Kokoschka, [exposition], Galerie nationales du Grand Palais, Paris, 3 octobre 2005-23 janvier 2006",,"Paris : Réunion des musées nationaux , impr. 2005",2005,2711849244,,"Kokoschka, Galerie, Grand Palais, Paris"
Klimt e i maestri «segreti» della Ricci Oddi. Catalogo della mostra,N/A,N/A,2021,9791259580344,E. Pontiggia,
"Schiele, Klimt, Kokoschka e gli amici viennesi. Catalgo della mostra (Rovereto, 7 ottobre 2006-8 gennaio 2007)",N/A,N/A,2006,8876249508,"Tobias Günter Natter, Tomas Sharman, Thomas Trummer",Kokoschka
"L'ossessione nordica. Klimt, Böcklin, Munch e la pittura italiana. Catalogo della mostra (Rovigo, 22 febbraio-21 giugno 2014)",N/A,N/A,2014,8831717847,"Giandomenico Romanelli, A. Tiddia","Böcklin, Munch"
Gustav Klimt,"Paintings and Drawings : [exhibition], October-November 1965, Marlborough Fine Art Limited ... [et Al.].",N/A,1966,UOM:39015028411422,"Gustav Klimt, Marlborough Fine Art Ltd",
