,title,publisher,date,isbn,Authors,category
113,"Willem de Kooning. Pittsburgh International Series, October 26, 1979-January 6, 1980, Museum of Art, Carnegie Institute",,1979,UOM:39015020382548,"Willem De Kooning, Carnegie Institute. Museum of Art",De Kooning
309,Gustav Klimt--Egon Schiele. In Commemoration of the Achievements of Dr. Otto Kallir,Crown,1980,UCSD:31822010568384,Jane Kallir,Klimt
132,Klimt. ,,1980,UCSC:32106008329085,"Gustav Klimt, Cecilia Bernardini",Klimt
147,"Willem de Kooning, Works from 1951-1981. ",,1981,STANFORD:36105031900587,"Judith Lynn Wolfe, Guild Hall of East Hampton",De Kooning
130,Gustav Klimt. ,,1981,8820204649,Gustav Klimt,Klimt
264,Klimt. ,,1981,8472911187,Gustav Klimt,Klimt
75,Klimt. ,": Éditions de Vergennes : [puis] Editions de Vergeures , 1982",1982,2730905235,,Klimt
18,"Willem de Kooning : drawings, paintings, sculpture, New York, Berlin, Paris, [two exhibitions at the Whitney museum of American art, New York : ""The drawings of Willem de Kooning"", December 7, 1983-February 19, 1984 and ""Willem de Kooning retrospective exhibition"", December 15, 1983-February 26, 1984]. ","New York : Whitney museum of American art ; Munich : Prestel-Verl. ; New York ; London : W. W. Norton , cop. 1983",1983,0393018407,,De Kooning
317,Tout l'œuvre peint de Klimt. ,,1983,UOM:39015042493455,"Gustav Klimt, Sergio Coradeschi",Klimt
67,De Kooning. ,New York : Abbeville Press,1983,UOM:39015016616644,"Harry F. Gaugh, Willem De Kooning",De Kooning
17,Tout l'oeuvre peint de Klimt. ,"[Paris] : Flammarion , 1983",1983,2080112201,,Klimt
49,Willem de Kooning. ,"New York : Abbeville press , cop. 1983",1983,1558592482,,De Kooning
86,Willem de Kooning. ,,1983,OCLC:471898377,,De Kooning
319,"Gustav Klimt, Drawings. ",,1983,UOM:39015027868796,"Gustav Klimt, Serge Sabarsky",Klimt
