,title,publisher,date,isbn,Authors,category
44,"Willem de Kooning : [exposición] Institut valencià d'art modern, Valencia, 6-IX/2-XII 2001, Fundación la Caixa, Madrid, 20-XII 2001/25-III 2002. ","Valencia : Institut valencià d'art modern ; Madrid : Fundacio la Caixa , 2001",2001,8448228626,,De Kooning
37,"Guerrero, De Kooning : la sabiduría del color, [exposición]... Centro José Guerrero, Granada, del 8 de marzo al 27 de mayo de 2001. ","Granada : Centro José Guerrero , 2001",2001,8478072942,,De Kooning
18,"Klimt, Kokoschka, Schiele : dall'art nouveau all'espressionismo, [mostra, Roma, Complesso di Vittoriano, 6 ottobre 2001 - 3 febbraio 2002] / [Jane Kallir,...]. ","Milano : Mazzotta , 2001",2001,8820215020,,Klimt
13,"The impact of Chaim Soutine (1893-1943) : de Kooning, Pollock, Dubuffet, Bacon, [publ. on the occasion of the exhibition, ""the impact of Chaim Soutine"", Galerie Gmurzynska, Cologne, November 2 - December 15, 2001]. ","Ostfildern-Ruit : Hatje Cantz , cop. 2002",2002,3775791035,,De Kooning
255,Essential Klimt. ,Parragon Publishing,2002,0752551450,"Laura Payne, Gustav Klimt",Klimt
94,Willem de Kooning. Paintings 1967-1984,,2002,STANFORD:36105023689982,Willem De Kooning,De Kooning
102,Willem de Kooning. The Life of an Artist,Enslow Publishing,2002,0766018849,Louise Hawes,De Kooning
74,Willem de Kooning. Tracing the Figure,Princeton University Press,2002,069109618X,"Willem De Kooning, Cornelia H. Butler, Paul Schimmel, Museum of Contemporary Art (Los Angeles, Calif.), San Francisco Museum of Modern Art, National Gallery of Art (U.S.)",De Kooning
43,"Willem de Kooning : tracing the figure, [exhibition, Los Angeles, Museum of contemporary art, 10 February-26 April 2002, San Francisco, San Francisco museum of modern art, 22 June-8 September 2002, Washington, National gallery of art, 29 September 2002-5 January 2003]. ","Los Angeles : Museum of contemporary art ; Princeton ; Oxord : Princeton university press , 2002",2002,069109618X,,De Kooning
70,"Klimt und die Frauen : [Ausstellung, Österreichische Galerie Belvedere, Wien, 20. September 2000 bis 7. Januar 2001]. ","[Köln] : DuMont , 2002",2002,3832172718,,Klimt
103,"Peintres de Vienne : de la Sécession à l'expressionnisme, Klimt, Kokoschka, Schiele, Gerstl, Boeckl..., Musée de Lodève, 13 juillet - 3 novembre 2002. ","Milano : Mazzotta , 2002",2002,8820215675,,Klimt
197,Klimt. ,,2002,1856486788,Maria Costantino,Klimt
246,"Klimt, Schiele, Kokoschka. l'età d'oro di Vienna con i suoi maestri ; [Trieste, Civico Museo Revoltella, Galleria d'Arte Moderna, 8 febbraio - 21 aprile 2002]",,2002,882021539X,Monica Maroni,Klimt
41,"The New York schools of music and visual arts : John Cage, Morton Feldman, Edgard Varèse, Willem de Kooning, Jasper Johns, Robert Rauschenberg. ","New York, N.Y. ; London : Routledge , 2002",2002,0415936942,,De Kooning
306,Gustav Klimt. ,,2002,UVA:X004561697,"Edmund Swinglehurst, Gustav Klimt",Klimt
292,Six Klimt Cards. ,Dover Publications,2003,0486428494,Gustav Klimt,Klimt
260,Klimt. ,,2003,1841860948,D. M. Gill,Klimt
259,Otto Wagner/Gustav Klimt. Duets,Harper Collins,2003,9780060564223,Llorenc Bonet,Klimt
73,Willem de Kooning. ,,2003,OCLC:228439249,,De Kooning
175,"Piet Mondrian, Hans Hofmann, Willem de Kooning. europäische Künstler in den USA - amerikanische Künstler aus Europa",,2003,3793093239,Tobias Lander,De Kooning
82,"Gustav Klimt, 1862-1918 : le monde à l'apparence féminine. ","Köln ; London ; Paris [etc.] : Taschen , cop. 2003",2003,3822829188,,Klimt
68,Klimt. ,"Paris : Gründ , 2003",2003,2700012739,,Klimt
96,"L'età postimpressionista : scienza, soggettività e simbolo da Seurat a Klimt. ","Napoli : Liguori , 2003",2003,8820735008,,Klimt
89,"Die Welt von Klimt, Schiele und Kokoschka : Sammler und Mäzene. ","Köln : DuMont , 2003",2003,3832172580,,Klimt
85,Willem de Kooning. A Centennial Exhibition,,2004,UCSD:31822034289066,Willem De Kooning,De Kooning
43,"Gustav Klimt : disegni dalla collezione Sabarsky, [mostra, Torino, Pinacoteca Giovanni e Marella Agnelli, 29 gennaio-25 aprile 2004]. ","Torino : Ed. GAM , impr. 2004",2004,8888103295,,Klimt
47,"Willem De Kooning, 1904-1997 : les contenus, impressions fugitives. ","Köln ; London ; Paris [etc.] : Taschen , cop. 2004",2004,3822821349,,De Kooning
114,Vi presento Klimt. ,"Milan : Ed. Arka , 2005",2004,9788880721413,,Klimt
64,"Willem de Kooning, 1904-1997. Content as a Glimpse",Taschen,2004,3822821357,"Barbara Hess, Willem De Kooning",De Kooning
193,Vi presento Klimt. ,,2004,8880721410,Berenice Capatti,Klimt
69,De Kooning. An American Master,Knopf,2004,UOM:39015058741425,"Mark Stevens, Annalyn Swan",De Kooning
251,Klimt. ,Parragon Publishing,2004,1405414944,Laura Payne,Klimt
111,Le chat de Gustav Klimt. ,"Paris : Grasset jeunesse , 2004",2004,2246667011,,Klimt
97,Rêves dorés de Gustave Klimt.... ,"[Paris] : Palette , DL 2005",2005,291571021X,,Klimt
314,Der Fall Klimt. die rechtliche Problematik der Klimt-Bilder im Belvedere,,2005,STANFORD:36105114797082,"Rudolf Welser, Christian Rabl",Klimt
140,Gustav Klimt. disegni proibiti,,2005,887624509X,Annette Vogel,Klimt
5,"École de New York : expressionnisme abstrait américain, oeuvres sur papier, William Baziotes, Adolph Gottlieb, Hans Hofmann, Franz Kline, Willem de Kooning, Robert Motherwell, Jackson Pollock, Richard Pousette-Dart, Mark Rothko, David Smith, Jack Tworkov, [exposition], 8 décembre 2005-5 mars 2006, Galerie contemporaine du Musée d'art moderne et d'art contemporain, MAMAC, Nice. ","[Nice] : Nice musées , impr. 2005",2005,2913548695,,De Kooning
107,"Vienne 1900 : Klimt, Schiele, Moser, Kokoschka, [exposition], Galerie nationales du Grand Palais, Paris, 3 octobre 2005-23 janvier 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,2711849244,,Klimt
72,Gustav Klimt : dessins et aquarelles. ,"Paris : Hazan , DL 2005",2005,2754100407,,Klimt
274,"Klimt, 1862-1918. ",Parkstone International,2005,1859959644,"Jane Reynolds, Patrick Bade",Klimt
24,"De Kooning paintings : 1960-1980, Kunstmuseum Basel, [16 September 2005 - 21 Januar 2006]. ","Ostfildern : Hatje Cantz , cop. 2005",2005,3775716297,,De Kooning
58,L'ABCdaire de Klimt. ,"Paris : Flammarion , DL 2005",2005,2080114425,,Klimt
51,"Willem de Kooning, een portret. ","Leiden : Menken Kasander & Wigman , 2005",2005,9074622534,,De Kooning
31,"Gustav Klimt, 1862-1918. ","Paris : ""Le Monde"" ; Köln : Taschen , cop. 2005",2005,3822846570,,Klimt
27,Le petit Klimt. ,"Bruxelles : Kate' art édition ; Paris : Réunion des musées nationaux , 2005",2005,2930382104,,Klimt
21,"Vienna 1900 : Klimt, Schiele, Moser, Kokoschka, [exhibition], Galeries nationales du Grand Palais, Paris, 3 October 2005-23 January 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,271185003X,,Klimt
20,Dans l'univers de Klimt. ,"Paris : Belem éd. , DL 2005",2005,2915577447,,Klimt
8,"Gustav Klimt, Oskar Kokoschka, Egon Schiele : un monde crépusculaire. ","Courbevoie : ACR éd. , DL 2005",2005,2867701759,,Klimt
5,"Gustav Klimt : papiers érotiques, [exposition, Paris, Musée Maillol, 9 mars-30 mai 2005]. ","[Paris] : Gallimard : Fondation Dina Vierny-Musée Maillol , 2005",2005,2070118053,,Klimt
79,"Vienne 1900 : Klimt, Schiele, Moser, Kokoschka, album de l'exposition, [Paris], Galeries nationales du Grand Palais, 3 octobre 2005-23 janvier 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,2711850560,,Klimt
132,De Kooning's Bicycle. Artists and Writers in the Hamptons,"Farrar, Straus and Giroux",2005,9781429921695,Robert Long,De Kooning
200,Klimt and His Cat. ,Eerdmans Young Readers,2005,0802852823,Berenice Capatti,Klimt
122,De Kooning. paintings 1960-1980 : Kunstmuseum Basel,,2005,372040160X,"Bernhard Bürgi, Klaus Kertess, Ralph Ubl",De Kooning
98,"Schiele, Klimt, Kokoschka e gli amici viennesi : [mostra, Roverto, Museo di arte moderna e contemporanea di Trento e Roverto, 7 ottobre 2006 - 8 gennaio 2007]. ","Milano : Skira ; Trento : MART, Museo di arte moderna e contemporanea di Trento e Roverto , cop. 2006",2006,8876249508,,Klimt
99,"Toorop-Klimt : Toorop in Wenen, inspiratie voor Klimt, [tentoonstelling, Gemeentemuseum, Den Haag, 7 oktober 2006 t/m 7 januari 2007]. ","Zwolle : Waanders , cop. 2006",2006,9040082634,,Klimt
168,The House for de Kooning's Friend. ,,2006,1599160560,Roger Connah,De Kooning
198,Gustav Klimt. Landscapes,Prestel Publishing,2006,UCSC:32106018478211,Gustav Klimt,Klimt
123,"De Kooning. L'uomo, l'artista. ",Johan & Levi Editore,2006,8860100224,"Mark Stevens, Annalyn Swan",De Kooning
120,Willem de Kooning. Paintings 1975-1978,,2006,0974424978,"Willem De Kooning, L & M Arts",De Kooning
57,Willem De Kooning. late paintings,Mondadori Electa,2006,UOM:39015066851935,"Willem De Kooning, Museo Carlo Bilotti",De Kooning
146,Klimt. ,,2006,3822818127,Gottfried Fliedl,Klimt
183,Nel segno di Klimt. Ver sacrum. La rivista d'arte della Secessione viennese. ,,2006,888345233X,"M. Bressan, M. De Grassi",Klimt
184,"Schiele, Klimt, Kokoschka e gli amici viennesi. Catalgo della mostra (Rovereto, 7 ottobre 2006-8 gennaio 2007). ",,2006,8876249508,"Tobias Günter Natter, Tomas Sharman, Thomas Trummer",Klimt
143,Gustav Klimt. l'infinita sensualità,,2006,8818022393,Giovanni Fanelli,Klimt
115,Gustav Klimt. ,"New York ; [Paris] : Parkstone international , cop. 2006",2006,1859950663,,Klimt
19,"Willem De Kooning : late paintings, [mostra, Roma, Museo Carlo Bilotti, 20 ottobre 2006-11 febbraio 2007]. ","Milano : Electa , cop. 2006",2006,8837049404,,De Kooning
140,Willem de Kooning Drawings. 1920s-1970s,,2007,1932608176,"Willem De Kooning, Allan Stone Gallery",De Kooning
311,"Gustav Klimt, Franz Matsch und Ernst Klimt im Burgtheater. ",,2007,STANFORD:36105122492817,Otmar Rychlik,Klimt
112,Gustav Klimt : l'or de la séduction. ,"Paris : Gründ , DL 2007",2007,9782700016956,,Klimt
117,Gustav Klimt : l'oro della seduzione. ,"Firenze : Giunti , 2007",2007,8809047729,,Klimt
189,Nel segno di Klimt. ver sacrum : la rivista d'arte della secessione viennese,,2007,8883452542,"Marina Bressan, Marino De Grassi",Klimt
12,"De Kooning, vite. ","Paris : Éd. de la Différence , DL 2007",2007,9782729117054,,De Kooning
96,Willem de Kooning. The Last Beginning : Exhibition in Cooperation with the Johanna Liesbeth de Kooning Trust,,2007,1932598510,Willem De Kooning,De Kooning
91,"Willem De Kooning. Works, Writings, Interviews",Ediciones Polígrafa S.A.,2007,UOM:39015074249122,Sally Yard,De Kooning
188,Gustav Klimt. ,Prestel Publishing,2007,UCSD:31822035208644,Nina Kränsel,Klimt
9,"Il simbolismo : da Moreau a Gauguin a Klimt, mostra, Ferrara, Ferrara palazzo dei Diamanti, 18 febbraio-20 maggio 2007, Roma, Roma galleria nazionale d'arte moderna, 7 giugno-16 settembre 2007. ","Ferrara : Ferrara arte , impr. 2007",2007,8889793066,,Klimt
71,De Kooning. ,,2007,3822835455,Barbara Hess,De Kooning
119,Willem de Kooning 1981 - 1986. ,,2007,0979094216,,De Kooning
54,Willem de Kooning. ,"Paris : Hazan , DL 2006",2007,9782754101769,,De Kooning
53,"Willem De Kooning : works, writings and interviews. ","Barcelona : Ed. Polígrafa , 2007",2007,9788434311381,,De Kooning
46,"L'art contemporain : de l'informel aux recherches actuelles, Marina Abramović, Joseph Beuys, Maurizio Cattelan, Francesco Clemente, Willem de Kooning, Jean Dubuffet, Lucio Fontana, Keith Haring, Anselm Kiefer, Franz Kline, Joseph Kosuth, Mario Merz, Bruce Nauman, Jackson Pollock, Robert Rauschenberg, Richard Serra, Bill Viola, Andy Warhol. ","Paris : Gründ , DL 2008",2008,9782700024203,,De Kooning
71,Gustav Klimt. ,"[Paris] : Chêne , DL 2008",2008,9782842778750,,Klimt
192,"Gustav Klimt. Painting, Design and Modern Life",Tate,2008,UOM:39015077687021,"Gustav Klimt, Tate Gallery Liverpool",Klimt
48,"L'abbraccio di Vienna : Klimt, Schiele e i capolavori del Belvedere, [mostra, Como, Villa Olmo, 15 marzo - 20 luglio 2008]. ","Cinisello Balsamo (Milano) : Silvana , 2008",2008,9788836610846,,Klimt
201,Klimt. ,Skira - Berenice,2008,8861308937,Federica Armiraglio,Klimt
50,Gustav Klimt : l'oeuvre peint. ,"Paris : Citadelles et Mazenod , impr. 2008",2008,9782850882524,,Klimt
51,"Gustav Klimt : painting, design and modern life, [exhibition, Tate Liverpool, 30 May - 31 August 2008]. ","London : Tate gallery publishing , 2008",2008,9781854377357,,Klimt
226,Gustav Klimt. Art Nouveau Visionary,Sterling Publishing Company,2008,9781402759208,Eva Di Stefano,Klimt
53,"Gustav Klimt : dibuxos, 1879-1918, [exposicio, Barcelona, Fundacio La Caixa, 2008]. ","Barcelona : Fundacio La Caixa , DL 2008",2008,9788499000015,,Klimt
42,Maskierung der Malerei : Jasper Johns nach Willem de Kooning. ,"München : W. Fink , cop. 2008",2008,3770546679,,De Kooning
6,"Action/abstraction : Pollock, de Kooning, and American art, 1940-1976, [exhibition, the Jewish museum, New York, May 4-September 21, 2008, Saint Louis art museum, October 19, 2008-January 11, 2009, Albright-Knox art gallery, Buffalo, N.Y., February 13-May 31, 2009]. ","New York : the Jewish museum , cop. 2008",2008,9780300122152,,De Kooning
220,Gustav Klimt. ,Quercus,2008,1847246370,Rachel Barnes,Klimt
153,Klimt. l'opera pittorica completa,,2008,8818025597,"Margherita Cavenago, Livia Spano",Klimt
139,Gustav Klimt. l'oro della seduzione,Giunti Editore,2009,8809745388,Eva Di Stefano,Klimt
32,"Deadline : Martin Kippenberger, Absalon, Hans Hartung, James Lee Byars, Felix Gonzalez-Torres, Joan Mitchell, Robert Mapplethorpe, Chen Zhen, Gilles Aillaud, Willem de Kooning, Hannah Villiger, Jörg Immendorff, [exposition, Musée d'art moderne de la Ville de Paris, 16 octobre 2009-10 janvier 2010]. ","Paris : Musée d'art moderne de la Ville de Paris : Paris musées , impr. 2009",2009,9782759601080,,De Kooning
52,"De la scène au tableau : David, Füssli, Klimt, Moreau, Lautrec, Degas, Vuillard..., [exposition, Marseille, Musée Cantini, 6 octobre 2009-3 janvier 2010, Rovereto, Museo di arte moderna e contemporanea, 6 février-23 mai 2010 , Toronto, Musée des beaux-arts de l'Ontario, 19 juin-26 septembre 2010]. ","Paris : Skira-Flammarion ; [Marseille] : MM ; [Rovereto] : MART [etc.] , DL 2009",2009,9782081229440,,Klimt
25,"De la scène au tableau : David, Füssli, Klimt, Moreau, Lautrec, Degas, Vuillard, [exposition, Marseille, Musée Cantini, 6 octobre 2009-3 janvier 2010, Rovereto, Museo di arte moderna e contemporanea, 6 février-23 mai 2010, Toronto, Musée des beaux-arts de l'Ontario, 19 juin-26 septembre 2010]. ","Paris : Skira-Flammarion ; [Marseille] : MM ; [Rovereto] : MART [etc.] , DL 2009",2009,9782081236912,,Klimt
169,A House for de Kooning's Friend. ,,2009,OCLC:747408553,Roger Connah,De Kooning
252,"Gustav Klimt. In Search of the ""total Artwork""",Prestel Publishing,2009,UOM:39015084114985,Gustav Klimt,Klimt
288,Klimt. ,,2009,846753463X,"Varios Autores,",Klimt
62,Klimt. ,"Paris : Gründ , DL 2010",2010,9782700028683,,Klimt
26,"Vienna 1900 : Klimt, Schiele, and their times, a total work of art, [exhibition, Fondation Beyeler, Basel, September 26, 2010 - January 16, 2011]. ","Ostfildern (Allemagne) : Hatje Cantz , cop. 2010",2010,3775726853,,Klimt
231,Gustav Klimt. ,Quercus Books,2010,0857382497,Rachel Barnes,Klimt
60,Willem de Kooning. The Artist's Materials,Getty Publications,2010,9781606060216,Susan Lake,De Kooning
76,"Femme ""cent têtes"" : fantasmes de femmes au miroir de la peinture, de Botticelli à Rubens, de Moreau à Klimt, de Delvaux à Balthus. ","Nice : l'Épiscope , 2010",2010,9782952764223,,Klimt
22,Willem de Kooning : the artist's materials. ,"Los Angeles : Getty conservation institute , cop. 2010",2010,160606021X,,De Kooning
243,Gustav Klimt - Josef Hoffmann. pioniers of modernism,Prestel Publishing,2011,3791351494,"Agnes Husslein-Arco, Alfred Weidinger",Klimt
10,"American vanguards : Graham, Davis, Gorky, De Kooning, and their circle, 1927-1942, [exhibition, Neuberger museum of art, Purchase, N.Y., January 29 - April 28, 2012, Amon Carter museum of American art, Fort Worth, Tex., June 9 - August 19, 2012, Addison gallery of American art, Andover, Mass., September 21 - December 31, 2012]. ","Andover (Mass.) : Addison gallery of American art ; New Haven (Conn.) ; London : Yale university press , cop. 2011",2011,0300121679,,De Kooning
271,Klimt. ,,2011,1844061698,Sandra Forty,Klimt
59,De Kooning. A Retrospective,The Museum of Modern Art,2011,9780870707971,"Willem De Kooning, John Elderfield, Lauren Mahony, Jennifer Field, Delphine Huisinga, Susan Lake",De Kooning
14,Between sense and De Kooning. ,"London : Reaktion books , cop. 2011",2011,9781861898531,,De Kooning
190,Klimt. ,Parkstone International,2011,9781781606681,Patrick Bade,Klimt
133,Between Sense and De Kooning. ,,2011,1861898533,"Richard Shiff, Willem De Kooning",De Kooning
26,"De Kooning : a retrospective, [exhibition, Museum of modern art, New York, September 18, 2011-January 9, 2012]. ","New York : Museum of modern art , 2011",2011,9780500093634,,De Kooning
32,"Gustav Klimt, 1862-1918 : le monde comme une forme féminine. ","Köln ; Paris : Taschen , cop. 2011",2011,9783836531450,,Klimt
144,Willem de Kooning. The Great American Artist,,2011,1258170477,Thomas B. Hess,De Kooning
116,Gustav Klimt : la beauté viennoise. ,"Évreux : Éd. Atlas , impr. 2011",2011,9782731247824,,Klimt
227,Klimt. ,,2011,1780421060,Klaus Carl,Klimt
141,Gustav Klimt. 1862-1918 : il mondo in forma di donna,,2011,3836535149,Christoph Heinrich,Klimt
119,Klimt : 1862-1918. ,"New York ; [Paris] : Parkstone international , cop. 2011",2011,9781906981198,,Klimt
120,Gustav Klimt. ,"New York ; [Paris] : Parkstone international , cop. 2011",2011,9781844849055,,Klimt
61,Willem de Kooning. ,The Museum of Modern Art,2011,9780870707889,Carolyn Lanchner,De Kooning
61,Gustav Klimt : tout l'oeuvre peint. ,"Köln ; [Paris] : Taschen , cop. 2012",2012,9783836527965,,Klimt
258,"Klimt. Up Close and Personal : Paintings, Letters, Insights",Christian Brandstatter,2012,3850336298,"Gustav Klimt, Tobias Günter Natter, Franz Smola, Peter Weinhäupl",Klimt
161,Gustav Klimt. nel segno di Hoffmann e della secessione,24 Ore Cultura,2012,8866480975,"Alfred Weidinger, Agnes Husslein-Arco",Klimt
182,Polemiche su Klimt. ,,2012,8897634265,Hermann Bahr,Klimt
166,Nel mondo di Klimt. ,,2012,8809774361,Eva Di Stefano,Klimt
160,"Klimt. le donne, l'arte, gli amori",Tre Lune,2012,8889832479,Edgarda Ferri,Klimt
39,"Von Dürer bis de Kooning : 100 Meisterzeichnungen, die Staatliche graphische Sammlung München zu Gast in New York, [Ausstellung, New York, Morgan library & museum, 12. Oktober 2012-6. Januar 2013]. ","München : Hirmer , cop. 2012",2012,3777455210,,De Kooning
204,Klimt - Skira Mini Artbook. ,Skira - Berenice,2012,8857202720,Armiraglio Federica,Klimt
287,Gustav Klimt & Emilie Flöge. Photographs,Prestel Publishing,2012,3791352474,Agnes Husslein-Arco,Klimt
36,La moquette de Klimt : poèmes. ,"Paris : Non lieu , DL 2012",2012,9782352701330,,Klimt
159,Gustav Klimt: Giuditta II. Un ritorno annunciato. ,,2012,8831713396,Giandomenico Romanelli,Klimt
94,"Klimt persönlich : Bilder, Briefe, Einblicke, [Jubiläumsausstellung, 24.02.2012 - 27.08.2012 im Leopold Museum, Wien]. ","Wien : Brandtstätter , cop. 2012",2012,385033628X,,Klimt
233,Gustav Klimt. The Complete Paintings,Taschen America Llc,2012,3836527952,"Rainald Franz, Angelina Pötschner, Christoph Grunenberg, Anette Freytag, Susanna Partsch, Evelyn Benesch, Marian Bisanz-Prakken, Michaela Reichel",Klimt
175,Gustav Klimt. disegni intorno al Fregio di Beethoven,,2012,8857214052,Annette Vogel,Klimt
67,"Klimt : up close and personal, paintings, letters, insights. ","Wien : Brandstätter , cop. 2012",2012,3850336298,,Klimt
232,Gustav Klimt. The Magic of Line,J Paul Getty Museum Publications,2012,1606061119,Marian Bisanz-Prakken,Klimt
155,Klimt. la sua vita in parole e immagini,,2012,389919232X,Harald Salfellner,Klimt
176,Gustav Klimt. ,Parkstone International,2012,9781783102549,"Jane Rogoyska, Patrick Bade",Klimt
84,"Gustav Klimt : Erwartung und Erfüllung, Entwürfde zum Mosaikfries im Palais Stoclet, [Ausstellung, Wien, MAK, Österreichisches Museum für Angewandte Kunst, 21.3-15.7.2012]. ","Ostfildern : Hatje Cantz , cop. 2012",2012,3775733051,,Klimt
35,Joseph Klimt. ,"Saint-Denis : Édilivre , impr. 2013",2013,9782332654427,,Klimt
16,Gustav Klimt : die Sammlung im Leopold Museum. ,Ostfildern : Hatje Cantz,2013,3775737448,,Klimt
253,"Gustav Klimt. The Kiss, ""lovers""",Jovis Verlag,2013,3868593101,Agnes Husslein-Arco,Klimt
180,Gustav Klimt e Malcesine. la famiglia Zuckerkandl e il mistero di un quadro scomparso,,2013,8890893818,Paolo Boccafoglio,Klimt
256,Klimt's Drawings. ,eBookIt.com,2013,9781456616397,Daniel Coenn,Klimt
124,"Gustav Klimt, ""Les trois âges de la femme"". ","[Paris] : ""Le Monde"" ; Florence : E-ducation.it , cop. 2013",2013,9782361561307,,Klimt
106,"Willem de Kooning. Ten Paintings, 1983-1985",Rizzoli Publications,2014,9780847843916,,De Kooning
199,"L'ossessione nordica. Klimt, Böcklin, Munch e la pittura italiana. Catalogo della mostra (Rovigo, 22 febbraio-21 giugno 2014). ",,2014,8831717847,"Giandomenico Romanelli, A. Tiddia",Klimt
1,A way of living : the art of Willem De Kooning. ,"London : Phaidon Press Limited , 2017",2014,0714845817,,De Kooning
66,"Klimt et Vienne, un siècle d'or et de couleurs : Gustav Klimt, Egon Schiele, Fritz Hundertwasser, spectacle original de Gianfranco Iannuzzi, Renatto Gatto, Massimiliano Siccardi. ","[Ferney-Voltaire] : Éditions Érick Venturelli photographies , 2014",2014,9782955300619,,Klimt
37,"Klimt et Vienne, un siècle d'or et de couleurs : Carrières de lumières, les Baux-de-Provence. ","[Issy-les-Moulineaux] : ""Beaux-arts"" éd.-[TTM éd.] , DL 2014",2014,9791020400697,,Klimt
202,Delphi Complete Works of Gustav Klimt (Illustrated). ,Delphi Classics,2014,,Gustav Klimt,Klimt
279,Killing for Klimt. A Megan Crespi Mystery Series Novel,Sunstone Press,2014,9781632930064,Alessandra Comini,Klimt
225,Gustav Klimt. Drawings and Pastels,,2014,9782897282226,Narim Bender,Klimt
212,Gustav Klimt. La storia illustrata dei grandi protagonisti dell'arte. ,,2014,8866481955,Stefano Zuffi,Klimt
164,Klimt. alle origini di un mito,24 Ore Cultura,2014,8866481939,Alfred Weidinger,Klimt
277,Gustav Klimt: Tree of Life (Foiled Journal). ,Flame Tree Notebooks,2014,1783611839,Flame Tree Studio,Klimt
163,Klimt. ,Parkstone International,2014,9781781609897,"Patrick Bade, Jane Rogoyska",Klimt
60,"Klimt : alle origini di un mito, [mostra, Milan, Palazzo reale, 12.03-13.07, 2014]. ","Milano : 24 ore cultura , impr. 2014",2014,8866481939,,Klimt
77,"L'ossessione nordica : Böcklin, Klimt, Munch e la pittura italiana, [mostra, Rovigo, Palazzo Roverella, 22 febbraio-22 giugno 2014]. ","Venezia : Marsilio , 2014",2014,8831717847,,Klimt
152,Klimt. Ediz. italiana. ,,2015,3836559730,Gilles Néret,Klimt
174,Écrits et propos de Willem De Kooning. Les Fiches de lecture d'Universalis,Encyclopaedia Universalis,2015,9782852296558,"Encyclopaedia Universalis,",De Kooning
136,Better than de Kooning. ,Snoeck,2015,3864421373,"Andreas Baur, Marcus Weber",De Kooning
236,Klimt. ,,2015,3836558076,Gilles Néret,Klimt
4,"Art in Vienna 1898-1918 : Klimt, Kokoschka, Schiele and their contemporaries. ","London : Phaidon , 2015",2015,0714868787,,Klimt
244,Gustav Klimt. Art Nouveau and the Vienna Secessionists,Flame Tree Illustrated,2015,1783616083,Michael Kerrigan,Klimt
93,"Au temps de Klimt : la sécession à Vienne, [exposition, Paris, Pinacothèque de Paris, 12 février-21 juin 2015]. ","Milan : 24 Ore cultura ; Paris : Pinacothèque de Paris , cop. 2015",2015,8866482552,,Klimt
235,The Little Klimt. A Fun and Cultural Moment for the Whole Family!,Kate'Art Éditions,2015,9782875750686,Catherine de Duve,Klimt
55,Le gardien de l'arbre : Klimt. ,"Futuroscope : Canopé éditions ; Saint-Pierre-des-Corps : l'Élan vert , DL 2015",2015,9782240042903,,Klimt
239,Gustav Klimt. 130 Paintings in Close Up,Createspace Independent Publishing Platform,2015,1507630344,Matt Johnson,Klimt
47,"Mélanie-A Turner-Klimt : ou la désespérance de l'art, kit théâtral. ","Paris : les Éditions Chapitre.com , DL 2015",2015,9791029002045,,Klimt
15,Willem de Kooning nonstop : cherchez la femme. ,"Chicago : London : The University of Chicago press , 2015",2015,022626744X,,De Kooning
110,De Kooning. Sculptures 1972-1974,,2015,0988930099,,De Kooning
122,"Cahier de coloriages : Gustav Klimt le fondateur de la Sécession viennoise, [album à colorier]. ","Vanves : Chêne , 2016",2016,9782812313646,,Klimt
301,Gustav Klimt: Fulfilment (Foiled Pocket Journal). ,Flame Tree Gift,2016,1783616822,"Flame Tree, Flame Tree Studio",Klimt
121,"Cahier de coloriages : Gustav Klimt le fondateur de la sécession viennoise, [album à colorier]. ","Paris : Chêne , 2016",2016,9782812313967,,Klimt
113,Gustav Klimt. ,"Paris : Éditions Place des Victoires , [2016]",2016,9782809914290,,Klimt
305,Color Your Own Klimt. ,Harper Design,2016,0062484435,The Belvedere,Klimt
68,Willem de Kooning Nonstop. Cherchez la femme,University of Chicago Press,2016,9780226267586,Rosalind E. Krauss,De Kooning
310,"Hope, Gustav Klimt. Blank Journal. 160 Blank Pages, 6 X 9 Inch (15. 24 X 22. 86 Cm) Soft Cover",,2016,1530760976,Studio Beeker,Klimt
295,Gustav Klimt: Three Ages of Woman (Foiled Pocket Journal). ,Flame Tree Gift,2016,1783616873,Flame Tree Studio,Klimt
131,Get to Know Willem de Kooning. ,,2016,0766072428,Charlotte Taylor,De Kooning
149,Klimt. Il modernismo. ,,2016,8809991613,Eva Di Stefano,Klimt
265,Klimt. Il tuo album di Klimt da colorare-Colour your own Klimt. ,,2016,8893480352,,Klimt
157,Klimt. Le donne. ,,2016,880999423X,Eva Di Stefano,Klimt
33,"Gustav Klimt, 1862-1918 : le monde comme une forme féminine. ","Köln ; [Paris] : Taschen , cop. 2016",2016,9783836558068,,Klimt
2,"Hartung et les peintres lyriques : Schneider, Gottlieb, De Kooning, Winter, Degottex, Mathieu, Hantaï, Jaffe, Twombly, Frankenthaler, Polke, Traquandi, Oehlen, Wool, Zurstrassen, Von Heyl, Bradley, [exposition, Landerneau, Les Capucins, 11 décembre 2016-17 avril 2017]. ","Landerneau : Fonds Hélène & Édouard Leclerc pour la culture , DL 2016",2016,9791096209002,,De Kooning
