title,publisher,date,isbn,Authors
"Gustav Klimt : disegni dalla collezione Sabarsky, [mostra, Torino, Pinacoteca Giovanni e Marella Agnelli, 29 gennaio-25 aprile 2004]. ","Torino : Ed. GAM , impr. 2004",2004,8888103295,
"Gustav Klimt, Egon Schiele und die Familie Lederer. ","Bern : Galerie Kornfeld , 1987",1987,3857730161,
Gustav Klimt : dessins érotiques. ,"Paris : Chêne , 1979",1979,2851082418,
Gustav Klimt. ,"Toulouse : Milan , DL 2019",2019,9782408012984,
"Mélanie-A Turner-Klimt : ou la désespérance de l'art, kit théâtral. ","Paris : les Éditions Chapitre.com , DL 2015",2015,9791029002045,
"L'abbraccio di Vienna : Klimt, Schiele e i capolavori del Belvedere, [mostra, Como, Villa Olmo, 15 marzo - 20 luglio 2008]. ","Cinisello Balsamo (Milano) : Silvana , 2008",2008,9788836610846,
Klimt : 50 chefs-d'oeuvre. ,"[Vanves] : Hazan , DL 2020",2020,9782754111638,
Gustav Klimt : l'oeuvre peint. ,"Paris : Citadelles et Mazenod , impr. 2008",2008,9782850882524,
"Gustav Klimt : painting, design and modern life, [exhibition, Tate Liverpool, 30 May - 31 August 2008]. ","London : Tate gallery publishing , 2008",2008,9781854377357,
"De la scène au tableau : David, Füssli, Klimt, Moreau, Lautrec, Degas, Vuillard..., [exposition, Marseille, Musée Cantini, 6 octobre 2009-3 janvier 2010, Rovereto, Museo di arte moderna e contemporanea, 6 février-23 mai 2010 , Toronto, Musée des beaux-arts de l'Ontario, 19 juin-26 septembre 2010]. ","Paris : Skira-Flammarion ; [Marseille] : MM ; [Rovereto] : MART [etc.] , DL 2009",2009,9782081229440,
"Gustav Klimt : dibuxos, 1879-1918, [exposicio, Barcelona, Fundacio La Caixa, 2008]. ","Barcelona : Fundacio La Caixa , DL 2008",2008,9788499000015,
Klimt. ,"Grenoble : Glénat , DL 2017",2017,9782344003831,
Le gardien de l'arbre : Klimt. ,"Futuroscope : Canopé éditions ; Saint-Pierre-des-Corps : l'Élan vert , DL 2015",2015,9782240042903,
De l'or dans la nuit de Vienne selon Klimt. ,"Paris : HD, Ateliers Henry Dougier , DL 2021",2021,9791031202747,
"Il disegno del nostro secolo : prima parte, da Klimt à Wols, [mostra, Milano, Fondazione Antonio Mazzotta, 11 aprile-10 luglio 1994]. ","Milano : Mazzotta , 1994-",1994,8820210908,
L'ABCdaire de Klimt. ,"Paris : Flammarion , DL 2005",2005,2080114425,
Gustav Klimt. ,"Londres ; Paris : Thames & Hudson , 1991",1991,287811034X,
"Klimt : alle origini di un mito, [mostra, Milan, Palazzo reale, 12.03-13.07, 2014]. ","Milano : 24 ore cultura , impr. 2014",2014,8866481939,
Gustav Klimt : tout l'oeuvre peint. ,"Köln ; [Paris] : Taschen , cop. 2012",2012,9783836527965,
Klimt. ,"Paris : Gründ , DL 2010",2010,9782700028683,
"Say it with flowers! : Viennese flower painting from Waldmüller to Klimt, [exhibition Orangerie of the Lower Belvedere, Vienna, June 22 - September 30, 2018]. ","Vienna : Belvedere , 2018",2018,9783791357928,
"Faszination Japan : Monet, Van Gogh, Klimt, [Ausstellung, Bank Austria Kunstforum Wien, 10. Oktober 2018 bis 20. Januar 2019]. ",[Heidelberg] : Kehrer,2018,3868288821,
"Koloman Moser : Universalkünstler zwischen Gustav Klimt und Josef Hoffmann, [Austellung, MAK, Wien 12/19 2018- 04/22 2019 ; Museum Villa Stuck, München, 09/23-09/15 2019]. ","Basel : Birkhauser ; Wien : MAK , 2019",2019,3035618496,
"Klimt et Vienne, un siècle d'or et de couleurs : Gustav Klimt, Egon Schiele, Fritz Hundertwasser, spectacle original de Gianfranco Iannuzzi, Renatto Gatto, Massimiliano Siccardi. ","[Ferney-Voltaire] : Éditions Érick Venturelli photographies , 2014",2014,9782955300619,
"Klimt : up close and personal, paintings, letters, insights. ","Wien : Brandstätter , cop. 2012",2012,3850336298,
Klimt. ,"Paris : Gründ , 2003",2003,2700012739,
Gustav Klimt : das Skizzenbuch aus dem Besitz von Sonja Knips. ,"Wien : Ed. Tusch , 1987",1987,3850631761,
"Klimt und die Frauen : [Ausstellung, Österreichische Galerie Belvedere, Wien, 20. September 2000 bis 7. Januar 2001]. ","[Köln] : DuMont , 2002",2002,3832172718,
Gustav Klimt. ,"[Paris] : Chêne , DL 2008",2008,9782842778750,
Gustav Klimt : dessins et aquarelles. ,"Paris : Hazan , DL 2005",2005,2754100407,
Gustav Klimt : monographie illustrée. ,"Paris : PML éd. , 1994",1994,2876288621,
Gustav Klimt 3. ,"Salzburg : Galerie Welz , cop. 1984",1984,3853491065,
Klimt. ,": Éditions de Vergennes : [puis] Editions de Vergeures , 1982",1982,2730905235,
"Femme ""cent têtes"" : fantasmes de femmes au miroir de la peinture, de Botticelli à Rubens, de Moreau à Klimt, de Delvaux à Balthus. ","Nice : l'Épiscope , 2010",2010,9782952764223,
"L'ossessione nordica : Böcklin, Klimt, Munch e la pittura italiana, [mostra, Rovigo, Palazzo Roverella, 22 febbraio-22 giugno 2014]. ","Venezia : Marsilio , 2014",2014,8831717847,
Klimt. ,"[Paris] : Flammarion , 1993",1993,2080100564,
"Vienne 1900 : Klimt, Schiele, Moser, Kokoschka, album de l'exposition, [Paris], Galeries nationales du Grand Palais, 3 octobre 2005-23 janvier 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,2711850560,
"Gustav Klimt : d'or et de couleurs, [exposition, Bordeaux, Bassins de lumières, 10 juin-30 mai 2020]. ","Paris : Hazan , DL 2020",2020,9782754111799,
Klimt. ,"[Paris] : Chêne , 1990",1990,2851086561,
"Gustav Klimt, 1862-1918 : le monde à l'apparence féminine. ","Köln ; London ; Paris [etc.] : Taschen , cop. 2003",2003,3822829188,
Klimt et la mode. ,"Paris : Éd. Assouline , 1998",1998,2843230543,
"Gustav Klimt : Erwartung und Erfüllung, Entwürfde zum Mosaikfries im Palais Stoclet, [Ausstellung, Wien, MAK, Österreichisches Museum für Angewandte Kunst, 21.3-15.7.2012]. ","Ostfildern : Hatje Cantz , cop. 2012",2012,3775733051,
"Klimt e l'arte italiana : [mostra, Museo d'arte moderna e contemporanea di Trento e Rovereto, MART, Rovereto, march 16 - june 18, 2023]. ","Cinisello Balsamo, Milano : Silvana editoriale",2023,8836654703,
"Gustav Klimt : der Beethovenfries, Geschichte, Funktion und Bedeutung. ","Salzburg : Residenz Verlag , cop. 1977",1977,370170175X,
Gustav Klimt. ,"Köln : Taschen , cop. 1992",1992,3822893374,
"Gustav Klimt, 1862-1918 : le monde à l'apparence féminine. ","Köln ; Lisboa ; Paris [etc.] : Taschen , 1998",1998,3822873454,
"Die Welt von Klimt, Schiele und Kokoschka : Sammler und Mäzene. ","Köln : DuMont , 2003",2003,3832172580,
Gustav Klimt : painter of women. ,"Munich ; New York : Prestel , cop. 1994",1994,3791314289,
"Körper, Eros und Tod : Gustav Klimt im Kontext der Ästhetik des Fin de Siècle. ","Essen : Verl. die Blaue Eule , cop. 1995",1995,389206654X,
Die weibliche und die männliche Linie : das imaginäre Geschlecht der modernen Kunst von Klimt bis Mondrian. ,"Berlin : D. Reimer Verl. , cop. 1993",1993,3496011084,
"Au temps de Klimt : la sécession à Vienne, [exposition, Paris, Pinacothèque de Paris, 12 février-21 juin 2015]. ","Milan : 24 Ore cultura ; Paris : Pinacothèque de Paris , cop. 2015",2015,8866482552,
"Klimt persönlich : Bilder, Briefe, Einblicke, [Jubiläumsausstellung, 24.02.2012 - 27.08.2012 im Leopold Museum, Wien]. ","Wien : Brandtstätter , cop. 2012",2012,385033628X,
Klimt : femmes. ,"Paris : Hazan , 2001",2001,285025813X,
"L'età postimpressionista : scienza, soggettività e simbolo da Seurat a Klimt. ","Napoli : Liguori , 2003",2003,8820735008,
Rêves dorés de Gustave Klimt.... ,"[Paris] : Palette , DL 2005",2005,291571021X,
"Schiele, Klimt, Kokoschka e gli amici viennesi : [mostra, Roverto, Museo di arte moderna e contemporanea di Trento e Roverto, 7 ottobre 2006 - 8 gennaio 2007]. ","Milano : Skira ; Trento : MART, Museo di arte moderna e contemporanea di Trento e Roverto , cop. 2006",2006,8876249508,
"Toorop-Klimt : Toorop in Wenen, inspiratie voor Klimt, [tentoonstelling, Gemeentemuseum, Den Haag, 7 oktober 2006 t/m 7 januari 2007]. ","Zwolle : Waanders , cop. 2006",2006,9040082634,
Klimt. ,"Paris : Flammarion , 1987",1987,208011526X,
Gustav Klimt : 25 chefs-d'oeuvre. ,"Paris : Nathan , cop. 1989",1989,2092400460,
Klimt : 1862-1918. ,"Paris : Cercle d'art , 1996",1996,2702204694,
"Peintres de Vienne : de la Sécession à l'expressionnisme, Klimt, Kokoschka, Schiele, Gerstl, Boeckl..., Musée de Lodève, 13 juillet - 3 novembre 2002. ","Milano : Mazzotta , 2002",2002,8820215675,
