"work","title","publisher","date","uri","isbn"
"http://data.bnf.fr/ark:/12148/cb42562001p#about","American vanguards : Graham, Davis, Gorky, De Kooning, and their circle, 1927-1942, [exhibition, Neuberger museum of art, Purchase, N.Y., January 29 - April 28, 2012, Amon Carter museum of American art, Fort Worth, Tex., June 9 - August 19, 2012, Addison gallery of American art, Andover, Mass., September 21 - December 31, 2012]","Andover (Mass.) : Addison gallery of American art ; New Haven (Conn.) ; London : Yale university press , cop. 2011","2011","https://catalogue.bnf.fr/ark:/12148/cb42562001p","978-0-300-12167-4"
"http://data.bnf.fr/ark:/12148/cb349979951#about","De Kooning, vite","Paris : Ed. de la Différence , 1988","1988","https://catalogue.bnf.fr/ark:/12148/cb349979951","2-7291-0270-1"
"http://data.bnf.fr/ark:/12148/cb41133627t#about","De Kooning, vite","Paris : Éd. de la Différence , DL 2007","2007","https://catalogue.bnf.fr/ark:/12148/cb41133627t","978-2-7291-1705-4"
"http://data.bnf.fr/ark:/12148/cb38802554n#about","The impact of Chaim Soutine (1893-1943) : de Kooning, Pollock, Dubuffet, Bacon, [publ. on the occasion of the exhibition, ""the impact of Chaim Soutine"", Galerie Gmurzynska, Cologne, November 2 - December 15, 2001]","Ostfildern-Ruit : Hatje Cantz , cop. 2002","2002","https://catalogue.bnf.fr/ark:/12148/cb38802554n","3-7757-9103-5"
"http://data.bnf.fr/ark:/12148/cb424991989#about","Between sense and De Kooning","London : Reaktion books , cop. 2011","2011","https://catalogue.bnf.fr/ark:/12148/cb424991989","978-1-86189-853-1"
"http://data.bnf.fr/ark:/12148/cb44524427d#about","Willem de Kooning nonstop : cherchez la femme","Chicago : London : The University of Chicago press , 2015","2015","https://catalogue.bnf.fr/ark:/12148/cb44524427d","022626744X"
"http://data.bnf.fr/ark:/12148/cb44524427d#about","Willem de Kooning nonstop : cherchez la femme","Chicago : London : The University of Chicago press , 2015","2015","https://catalogue.bnf.fr/ark:/12148/cb44524427d","9780226267449"
"http://data.bnf.fr/ark:/12148/cb347640459#about","Willem De Kooning : Whitney museum of American art, New York, 15 décembre 1983-26 février 1984 ; Akademie der Künste, Berlin, 11 mars-29 avril 1984, Centre Georges-Pompidou, Musée national d'art moderne, [Paris], 28 juin-24 septembre 1984","Paris : Centre Georges-Pompidou , 1984","1984","https://catalogue.bnf.fr/ark:/12148/cb347640459","2-85850-255-2"
"http://data.bnf.fr/ark:/12148/cb374930625#about","Willem de Kooning : Retrospektive, Zeichnungen, Gemälde, Skulpturen, [Ausstellung, Whitney museum of American art, New York, 15. Dezember 1983 - 26. Februar 1984, Akademie der Künste, Berlin, 11. März - 6. Mai 1984, Musée national d'art moderne, Centre Georges Pompidou, Paris, 26. Juni - 24. September 1984]","München : Prestel , cop. 1984","1984","https://catalogue.bnf.fr/ark:/12148/cb374930625","3-7913-0659-6"
"http://data.bnf.fr/ark:/12148/cb37526494b#about","Willem de Kooning : drawings, paintings, sculpture, New York, Berlin, Paris, [two exhibitions at the Whitney museum of American art, New York : ""The drawings of Willem de Kooning"", December 7, 1983-February 19, 1984 and ""Willem de Kooning retrospective exhibition"", December 15, 1983-February 26, 1984]","New York : Whitney museum of American art ; Munich : Prestel-Verl. ; New York ; London : W. W. Norton , cop. 1983","1983","https://catalogue.bnf.fr/ark:/12148/cb37526494b","0-393-01840-7"
"http://data.bnf.fr/ark:/12148/cb409651222#about","Willem De Kooning : late paintings, [mostra, Roma, Museo Carlo Bilotti, 20 ottobre 2006-11 febbraio 2007]","Milano : Electa , cop. 2006","2006","https://catalogue.bnf.fr/ark:/12148/cb409651222","88-370-4940-4"
"http://data.bnf.fr/ark:/12148/cb354180675#about","L'oeuvre gravé de Willem De Kooning 1 : catalogue raisonné","Paris : B. Lebon , 1991","1991","https://catalogue.bnf.fr/ark:/12148/cb354180675","2-87688-014-8"
"http://data.bnf.fr/ark:/12148/cb45288067c#about","Willem De Kooning, Zao Wou-Ki : [exposition Lévy Gorvy, New York, January 18 - March 11, 2017]","New York : Lévy Gorvy","2017","https://catalogue.bnf.fr/ark:/12148/cb45288067c","1944379126"
"http://data.bnf.fr/ark:/12148/cb45288067c#about","Willem De Kooning, Zao Wou-Ki : [exposition Lévy Gorvy, New York, January 18 - March 11, 2017]","New York : Lévy Gorvy","2017","https://catalogue.bnf.fr/ark:/12148/cb45288067c","9781944379124"
"http://data.bnf.fr/ark:/12148/cb42265321b#about","Willem de Kooning : the artist's materials","Los Angeles : Getty conservation institute , cop. 2010","2010","https://catalogue.bnf.fr/ark:/12148/cb42265321b","1-60606-021-X"
"http://data.bnf.fr/ark:/12148/cb42265321b#about","Willem de Kooning : the artist's materials","Los Angeles : Getty conservation institute , cop. 2010","2010","https://catalogue.bnf.fr/ark:/12148/cb42265321b","978-1-60606-021-6"
